"CHILDID","C7DESMTH","C7R4MSCL","S7_ID","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"1280024C",1,161.57,"C535",160.36,"4y college",1,"WHITE",1.39,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","WEST","SMALL TOWN AND RURAL"
"2001001C",1,151.5,"0007",149.85,"4y college",0,"Other",1.87,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001002C",1,168.52,"C002",164.79,"4y college",1,"WHITE",0.24,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001004C",1,152.79,"0007",145.99,"more than",0,"WHITE",0.56,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001005C",1,159.56,"0007",131.68,"4y college",1,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001006C",0,157.18,"C002",138.5,"4y college",0,"WHITE",-0.07,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001008C",1,162.48,"0007",143.64,"4y college",1,"WHITE",0.35,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001010C",0,165.41,"C002",107.29,"4y college",1,"WHITE",0.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001011C",0,119.68,"0007",92.84,"4y college",0,"WHITE",0.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001012C",0,148.24,"0007",117.35,"4y college",0,"WHITE",0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001015C",1,156.27,"0007",141.98,"less than",1,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001017C",1,166.13,"C002",143.07,"more than",1,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"2001022C",1,167.13,"0007",148.27,"more than",1,"WHITE",1.83,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"2021001C",1,152.02,"C432",142.11,"4y college",1,"WHITE",0.62,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021002C",0,135.75,"C432",120.66,"4y college",0,"WHITE",0.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021003C",1,151.93,"C432",141.55,"4y college",0,"WHITE",0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021005C",1,148.24,"C432",128.03,"4y college",0,"WHITE",1.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021009C",1,134.54,"C432",128.92,"4y college",0,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021012C",0,146.83,"C426",133.65,"4y college",1,"WHITE",-0.36,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2021013C",0,140.87,"C426",136.41,"more than",0,"WHITE",-0.84,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2021015C",0,163.41,"C426",158.25,"more than",1,"WHITE",0.46,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2021019C",1,148.81,"C432",143.69,"4y college",0,"WHITE",-0.4,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021020C",1,154.11,"C432",132.96,"more than",0,"WHITE",1.34,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021021C",1,155.36,"C432",141.46,"4y college",1,"WHITE",0.76,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021022C",1,143.32,"C432",135.09,"4y college",0,"WHITE",0,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2021024C",0,147.9,"C432",138.96,"more than",1,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2046010C",1,157.34,"C655",140.54,"more than",0,"BLACK",0.67,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2046040C",0,101.89,"C655",99.66,"4y college",1,"BLACK",-1.5,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2078001C",0,131.27,"A071",89.75,"4y college",0,"WHITE",0.24,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078002C",0,147.87,"A071",107.74,"less than",0,"WHITE",-0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078004C",0,127.51,"A071",86.36,"less than",0,"WHITE",-0.09,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078005C",0,133.57,"A071",121.15,"less than",1,"WHITE",0.39,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078006C",1,162.42,"A071",147.65,"4y college",1,"WHITE",0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078008C",1,170.36,"A071",158.76,"4y college",1,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078010C",1,154.02,"A071",121.74,"less than",1,"WHITE",-0.32,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078011C",1,160.55,"A071",150.04,"less than",1,"WHITE",-0.46,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078012C",0,150.98,"A071",138.41,"4y college",1,"WHITE",-0.52,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078013C",1,154.58,"A071",145.39,"less than",0,"WHITE",-0.06,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078015C",0,163.74,"A071",141.14,"less than",1,"WHITE",-0.61,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078016C",0,140.03,"A071",109.14,"4y college",0,"WHITE",0.32,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078018C",0,112.18,"A071",85.64,"less than",0,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2078022C",0,150.12,"A071",136.11,"4y college",0,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"2095001C",0,139.57,"2095",134.07,"less than",1,"WHITE",-0.59,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095002C",1,133.25,"2095",139.12,"4y college",1,"WHITE",0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095003C",0,108.06,"A324",92.62,"less than",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2095004C",0,128.71,"2095",126.39,"4y college",0,"WHITE",-0.59,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095005C",0,131.8,"2095",136.38,"4y college",1,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095006C",0,152.83,"A324",140.54,"less than",1,"WHITE",-0.59,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2095008C",0,127.35,"2095",105.7,"less than",0,"WHITE",0.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095009C",0,122.82,"2095",101.85,"less than",0,"WHITE",-0.3,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095010C",0,144.61,"2095",129.45,"4y college",0,"HISPANIC",1,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095011C",1,138.41,"2095",117.97,"more than",0,"WHITE",0.9,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095013C",1,156.23,"A324",156.43,"4y college",1,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2095014C",0,144.87,"2095",136.76,"4y college",0,"WHITE",-0.06,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095016C",0,122.04,"2095",117.42,"less than",0,"WHITE",-0.4,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2095018C",1,154.92,"2095",138.48,"4y college",1,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","SMALL TOWN AND RURAL"
"2112003C",0,160.67,"D231",136.54,"4y college",0,"WHITE",0.24,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112005C",0,139.38,"D231",115.78,"4y college",0,"WHITE",0.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112006C",0,143.86,"D231",118.47,"4y college",1,"WHITE",1.24,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112007C",1,169.72,"D231",144.56,"more than",1,"WHITE",0.98,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112008C",0,141.84,"D231",119.15,"more than",0,"WHITE",1.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112009C",0,169.01,"D231",144.69,"4y college",1,"WHITE",0.72,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112012C",1,171.39,"D231",140.09,"4y college",0,"HISPANIC",-0.7,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112013C",0,141.41,"D231",117.69,"4y college",1,"WHITE",0.56,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112014C",1,169.46,"D231",150.26,"more than",1,"WHITE",0.9,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112021C",0,163.86,"D231",140.25,"4y college",1,"WHITE",0.97,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112022C",1,75.27,"D231",66.27,"4y college",0,"BLACK",-0.64,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112023C",0,168.06,"D231",136.3,"more than",1,"Other",0.51,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2112024C",0,157.52,"D231",142.62,"4y college",1,"WHITE",0.34,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114001C",0,112.74,"D234",101.44,"less than",1,"WHITE",-0.36,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114003C",1,149.66,"D234",136.79,"more than",0,"WHITE",-0.33,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114004C",0,142.61,"D234",131.03,"more than",0,"WHITE",0.5,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114005C",1,145.93,"D234",129.1,"4y college",1,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114006C",1,154.32,"D234",132.16,"4y college",1,"WHITE",0.54,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114007C",1,165.67,"D234",142.17,"4y college",0,"WHITE",0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114008C",1,143.49,"D234",146.7,"4y college",1,"WHITE",0.18,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114009C",1,167.66,"D234",145.2,"4y college",1,"WHITE",0.28,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114012C",1,158.51,"D234",136.12,"4y college",1,"WHITE",0.06,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114013C",1,140.56,"D234",118.1,"4y college",0,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114014C",1,143.94,"D234",119.32,"less than",0,"WHITE",0.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114015C",0,133.65,"D234",125.28,"less than",1,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114018C",1,127.91,"D234",103.33,"4y college",1,"WHITE",0.4,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114020C",0,158.72,"D234",128.81,"4y college",0,"WHITE",0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114021C",1,143.56,"D234",131.66,"more than",0,"WHITE",1.18,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114022C",1,151.01,"D234",135.05,"4y college",1,"WHITE",0.93,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2114023C",1,160.45,"D234",152.56,"more than",0,"WHITE",0.25,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2120002C",1,167.1,"A452",151.21,"4y college",1,"WHITE",0.01,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120003C",1,170.63,"A452",156.81,"4y college",1,"WHITE",0.76,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120006C",0,118.55,"A452",112.75,"more than",0,"BLACK",-0.74,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120007C",1,167.89,"A452",145.49,"4y college",0,"WHITE",0.25,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120010C",0,161.44,"A452",129.56,"more than",1,"WHITE",-0.33,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120018C",0,122.75,"A452",102.61,"less than",1,"WHITE",0.9,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120019C",1,162.56,"A452",150.24,"4y college",1,"WHITE",1,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120021C",1,165.9,"A452",151.99,"more than",1,"WHITE",1.54,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120023C",0,144.12,"C917",125.3,"less than",1,"WHITE",0.11,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2120024C",0,152.83,"C457",151.82,"more than",0,"WHITE",0.49,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120040C",1,158.97,"A452",132.54,"4y college",1,"WHITE",-0.85,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2120041C",0,127.38,"A452",91.49,"more than",0,"BLACK",-0.84,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","SOUTH","SMALL TOWN AND RURAL"
"2121003C",0,148.29,"D561",133.34,"4y college",1,"BLACK",0.11,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121005C",0,160.35,"D561",137.32,"more than",1,"HISPANIC",-0.28,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121006C",1,161.49,"D561",160.44,"more than",1,"HISPANIC",0.03,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121007C",0,159.28,"D561",127.78,"less than",1,"HISPANIC",-0.58,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121008C",0,144.11,"D561",108.81,"less than",0,"WHITE",-0.47,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121010C",1,168.79,"D561",155.28,"more than",0,"WHITE",0.95,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121017C",0,149.66,"D561",130.59,"4y college",0,"WHITE",0.23,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121018C",1,118.35,"D561",90.17,"less than",0,"WHITE",-0.37,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121020C",0,151.9,"D561",125.57,"4y college",0,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121021C",0,139.41,"D561",111.3,"4y college",1,"Other",0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121024C",0,133.23,"D561",129.48,"4y college",1,"BLACK",0.02,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2121026C",1,153.94,"D561",129.14,"4y college",0,"BLACK",0.11,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","SOUTH","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122002C",0,100.73,"D510",68.29,"more than",1,"HISPANIC",-0.97,"AT OR ABOVE POVERTY THRESHOLD","less than high school","two parents","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122004C",0,119.84,"D510",115.55,"more than",0,"HISPANIC",-0.94,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122009C",0,127.81,"D510",168.26,"4y college",1,"HISPANIC",-0.83,"AT OR ABOVE POVERTY THRESHOLD","less than high school","one parent","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122014C",0,130.62,"D510",104.38,"4y college",0,"HISPANIC",-1.12,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122015C",1,115.68,"D510",74.18,"less than",1,"HISPANIC",-1.35,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122019C",1,152.03,"D510",134.83,"4y college",1,"HISPANIC",-1.22,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2122023C",1,134.19,"D510",106.18,"less than",0,"HISPANIC",-0.97,"AT OR ABOVE POVERTY THRESHOLD","less than high school","two parents","PUBLIC","WEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2129002C",1,153.22,"C888",134.81,"more than",1,"WHITE",1.19,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2129008C",1,161.38,"C888",113.4,"more than",0,"WHITE",0.79,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2129012C",1,167.73,"C888",132.69,"more than",0,"WHITE",1.03,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"2132003C",0,159.33,"A034",114.62,"4y college",0,"WHITE",0.03,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2132011C",1,165.35,"A034",142.08,"more than",0,"WHITE",1.35,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"2132014C",0,147.22,"A034",116.72,"4y college",1,"WHITE",-0.19,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"3005004C",1,165.17,"D749",152.77,"more than",0,"WHITE",1.44,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"3005006C",1,146.84,"D749",160.09,"less than",0,"WHITE",0.94,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"3005008C",1,164.59,"D749",152.5,"4y college",1,"WHITE",1.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"3005009C",0,163.34,"D749",141.76,"4y college",1,"WHITE",0.47,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"3005011C",1,163.21,"D749",152.01,"4y college",0,"WHITE",1.22,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
